feature,importance
lag_52w,3027
lag_1w,2196
roll_4w_std,1481
roll_13w_std,1467
lag_8w,1297
MarkDown3,1283
roll_8w_std,1262
lag_4w,1237
lag_2w,1105
Temperature,927
Fuel_Price,873
WeekOfYear,850
WeekOfYear_sin,791
Size,773
Unemployment,730
WeeksSinceStart,729
roll_13w_mean,708
roll_4w_mean,629
CPI,628
MarkDown2,612
roll_8w_mean,583
TotalMarkdown,485
MarkDown4,392
MarkDown5,391
MarkDown1,382
WeekOfYear_cos,338
Month,257
DayOfYear,222
SizeNorm,140
Month_sin,126
IsHoliday,110
Month_cos,96
IsThanksgiving,80
TypeEncoded,73
IsSuperBowl,44
IsLaborDay,18
Year,4
IsChristmas,3
AnyMarkdown,0
