feature,importance
lag_52w,1626
lag_1w,1367
roll_13w_mean,1350
roll_4w_std,1308
lag_8w,1268
lag_4w,1220
roll_8w_std,1168
lag_2w,1150
roll_13w_std,1141
roll_8w_mean,1067
roll_4w_mean,899
Temperature,712
Unemployment,681
Fuel_Price,675
CPI,659
TotalMarkdown,617
WeekOfYear_sin,509
WeekOfYear,435
MarkDown2,383
MarkDown4,363
MarkDown1,328
WeeksSinceStart,317
MarkDown5,299
MarkDown3,279
IsHoliday,216
IsThanksgiving,174
WeekOfYear_cos,162
Size,158
DayOfYear,136
Month,123
Month_sin,89
Month_cos,34
SizeNorm,19
AnyMarkdown,14
Year,8
IsSuperBowl,4
TypeEncoded,4
IsChristmas,1
IsLaborDay,1
